OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
1,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,"Michael C Allemand, MD",134,54,35,12,46.3%,29.6%,14.3%,* / 12,44.0%,27.8%,8.6%,* / 12,115,48,25,9,53.9%,33.3%,20.0%,* / 9,51.3%,31.3%,12.0%,* / 9,147,45,17,*,42.2%,35.6%,5 / 17,* / *,40.1%,33.3%,* / 17,* / *,2.2,3.4,7.0,12.0,45.7%,38.5%,* / 17,* / 7,50.0%,46.2%,* / 17,* / 7,51.1%,53.8%,* / 17,* / 7,1.2,1.3,1.2,1.1,1.2,0.9,0.5,0.3,0,5,9,12,,* / 5,* / 9,6 / 12,,* / 5,* / 9,6 / 12,284,76,47,47,454,5.6%,28.9%,11.5%,17.4%,11.8%,16.2%,24.6%,20.5%,27.9%,19.1%,1.1%,1.3%,0.0%,0.0%,0.9%,0.6%,2.9%,0.0%,7.4%,1.5%,77.2%,82.9%,72.0%,55.6%,75.3%,85.6%,82.9%,80.0%,55.6%,81.6%,11.1%,31.4%,16.0%,7.4%,13.9%,52%,21%,25%,9%,3%,12%,1%,14%,21%,12%,49%,17%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
2,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,"Deidre D. Gunn, MD",44,13,10,*,56.8%,5 / 13,* / 10,* / *,50.0%,5 / 13,* / 10,* / *,42,11,7,*,59.5%,5 / 11,* / 7,* / *,52.4%,5 / 11,* / 7,* / *,48,13,5,5,52.1%,5 / 13,* / 5,* / 5,45.8%,5 / 13,* / 5,* / 5,1.8,2.6,5.0,2.0,55.6%,* / 6,* / 8,* / *,61.1%,* / 6,* / 8,* / *,61.1%,* / 6,* / 8,* / *,1.1,1.2,1.1,1.0,1.1,1.1,0.6,1.0,0,*,8,*,,* / *,* / 8,0 / *,,* / *,* / 8,0 / *,67,34,21,29,151,11.5%,* / 14,* / 11,* / 7,13.8%,20.3%,15.2%,* / 18,21.4%,18.9%,7.5%,11.8%,9.5%,0.0%,7.3%,2.8%,* / 19,* / 8,* / 18,4.9%,91.7%,19 / 19,8 / 8,14 / 18,91.4%,55.6%,8 / 19,7 / 8,12 / 18,58.0%,52.8%,8 / 19,* / 8,6 / 18,45.7%,40%,8%,23%,8%,15%,9%,1%,21%,25%,2%,15%,4%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,ALABAMA FERTILITY SPECIALISTS,,HOMEWOOD,ALABAMA,"Mamie R McLean, MD",117,46,30,22,50.4%,32.6%,20.0%,9.1%,44.4%,26.1%,16.7%,9.1%,110,40,23,19,53.6%,37.5%,26.1%,* / 19,47.3%,30.0%,21.7%,* / 19,136,52,23,14,43.4%,28.8%,26.1%,* / 14,38.2%,23.1%,21.7%,* / 14,2.0,3.1,5.0,11.0,54.4%,40.0%,* / 17,0 / 10,60.0%,43.3%,6 / 17,* / 10,60.0%,43.3%,6 / 17,* / 10,1.2,1.2,1.4,1.8,1.2,1.2,0.7,0.6,5,8,6,0,* / 5,* / 8,* / 6,,* / 5,* / 8,* / 6,,196,91,70,56,413,6.4%,8.5%,19.0%,25.7%,12.0%,24.9%,27.6%,25.8%,25.5%,25.7%,3.6%,1.1%,5.7%,0.0%,2.9%,0.8%,0.0%,0.0%,3.0%,0.8%,65.0%,73.1%,61.3%,33.3%,61.9%,62.5%,42.3%,58.1%,42.4%,54.7%,6.7%,25.0%,25.8%,3.0%,12.7%,31%,19%,13%,12%,4%,3%,<1%,13%,13%,9%,13%,2%,11%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AL
4,FERTILITY INSTITUTE OF NORTH ALABAMA,,HUNTSVILLE,ALABAMA,"Brett Davenport, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,32,8,7,*,50,* / 17,0 / 5,0 / *,0 / *,3.7%,3.2%,* / 8,* / 7,* / *,12.2%,0.0%,0 / 8,0 / 7,0 / *,0.0%,0 / 19,0 / *,0 / *,0 / *,0.0%,15 / 19,* / *,* / *,* / *,82.1%,12 / 19,* / *,* / *,0 / *,50.0%,5 / 19,0 / *,* / *,0 / *,21.4%,26%,12%,14%,26%,10%,20%,0%,14%,14%,6%,0%,0%,26%,Yes,No,Yes,Yes,Yes,No,Pending,0,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,"George T. Koulianos, MD",78,45,43,13,62.8%,44.4%,18.6%,0 / 13,57.7%,42.2%,16.3%,0 / 13,74,44,36,10,66.2%,45.5%,22.2%,0 / 10,60.8%,43.2%,19.4%,0 / 10,86,42,29,5,57.0%,47.6%,27.6%,0 / 5,52.3%,45.2%,24.1%,0 / 5,1.6,2.3,5.4,,66.1%,50.0%,17.4%,0 / *,67.7%,53.3%,26.1%,0 / *,69.4%,56.7%,26.1%,0 / *,1.1,1.2,1.7,1.5,1.1,0.9,0.7,0.5,0,11,15,*,,5 / 11,6 / 15,0 / *,,5 / 11,6 / 15,0 / *,127,107,55,50,339,7.0%,19.0%,8.3%,* / 18,11.7%,17.1%,17.9%,5.7%,12.2%,14.7%,2.4%,1.9%,7.3%,0.0%,2.7%,1.1%,1.8%,2.9%,0.0%,1.4%,72.7%,75.0%,82.9%,65.6%,73.9%,90.9%,98.2%,91.4%,62.5%,88.6%,3.4%,39.3%,25.7%,28.1%,20.4%,49%,17%,20%,17%,1%,26%,<1%,9%,19%,6%,32%,2%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
6,NEW DIRECTION FERTILITY CENTERS,,GILBERT,ARIZONA,"Mark Amols, MD",210,109,93,68,66.7%,58.7%,36.6%,19.1%,47.1%,45.9%,30.1%,19.1%,206,108,91,62,68.0%,59.3%,37.4%,21.0%,48.1%,46.3%,30.8%,21.0%,187,88,59,23,74.9%,72.7%,57.6%,56.5%,52.9%,56.8%,47.5%,56.5%,1.5,1.7,2.7,5.2,76.0%,59.7%,37.2%,18.5%,79.3%,70.1%,44.2%,29.6%,80.0%,71.6%,46.5%,33.3%,1.1,1.2,1.3,1.4,1.0,0.9,0.7,0.5,*,0,21,0,* / *,,61.9%,,* / *,,57.1%,,511,238,218,157,"1,124",0.4%,4.8%,1.9%,10.8%,3.4%,3.5%,3.4%,6.0%,13.6%,5.3%,2.0%,3.4%,0.9%,2.5%,2.1%,0.0%,0.0%,0.0%,3.2%,0.4%,96.7%,100.0%,100.0%,100.0%,98.4%,78.1%,83.2%,76.6%,57.1%,76.5%,70.8%,87.6%,87.9%,68.3%,77.2%,31%,9%,12%,15%,3%,75%,<1%,30%,96%,6%,1%,7%,14%,Yes,No,Yes,Yes,Yes,No,Yes,0,AZ
7,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC",,PHOENIX,ARIZONA,"Drew V. Moffitt, MD",66,32,31,18,60.6%,46.9%,19.4%,* / 18,50.0%,37.5%,19.4%,* / 18,62,31,25,12,64.5%,48.4%,24.0%,* / 12,53.2%,38.7%,24.0%,* / 12,73,31,23,12,54.8%,48.4%,26.1%,* / 12,45.2%,38.7%,26.1%,* / 12,1.7,2.1,5.2,18.0,64.9%,60.9%,* / 19,* / 12,68.4%,60.9%,* / 19,* / 12,68.4%,60.9%,* / 19,* / 12,1.1,1.1,1.2,1.2,1.1,1.0,0.9,0.9,0,6,20,*,,* / 6,40.0%,* / *,,* / 6,40.0%,* / *,191,74,75,60,400,3.4%,0.0%,12.1%,0.0%,4.1%,6.9%,13.5%,8.5%,10.0%,8.9%,0.0%,1.4%,1.3%,0.0%,0.5%,7.4%,0.0%,5.4%,0.0%,4.4%,96.8%,92.5%,100.0%,90.6%,95.6%,92.6%,90.0%,86.5%,71.9%,87.7%,23.2%,32.5%,45.9%,28.1%,29.9%,47%,7%,18%,14%,1%,1%,1%,43%,42%,2%,7%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
8,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,,PHOENIX,ARIZONA,"Maria M. Gondra, MD",17,12,8,5,6 / 17,* / 12,* / 8,* / 5,6 / 17,* / 12,* / 8,* / 5,17,12,7,*,6 / 17,* / 12,* / 7,* / *,6 / 17,* / 12,* / 7,* / *,25,8,*,*,24.0%,* / 8,* / *,* / *,24.0%,* / 8,* / *,* / *,2.8,4.0,4.0,5.0,6 / 15,* / 6,* / 5,0 / *,6 / 15,* / 6,* / 5,0 / *,6 / 15,* / 6,* / 5,0 / *,1.1,1.7,1.2,1.3,1.5,0.6,0.3,0.5,0,*,5,0,,0 / *,* / 5,,,0 / *,* / 5,,51,19,13,14,97,0.0%,* / 15,0 / 8,* / 7,3.7%,7.8%,6 / 18,* / 13,* / 13,15.8%,2.0%,0 / 19,0 / 13,0 / 14,1.0%,0.0%,0 / 7,0 / 5,0 / 8,0.0%,86.2%,* / 7,5 / 5,5 / 8,79.6%,51.7%,6 / 7,* / 5,8 / 8,67.3%,20.7%,* / 7,* / 5,0 / 8,26.5%,52%,33%,16%,24%,22%,7%,0%,42%,44%,13%,14%,0%,6%,No,No,Yes,Yes,Yes,Yes,No,0,AZ
9,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,"Sujatha Gunnala, MD",41,22,21,7,56.1%,36.4%,4.8%,0 / 7,51.2%,36.4%,4.8%,0 / 7,41,22,20,6,56.1%,36.4%,5.0%,0 / 6,51.2%,36.4%,5.0%,0 / 6,57,20,20,*,40.4%,40.0%,5.0%,0 / *,36.8%,40.0%,5.0%,0 / *,1.8,2.8,21.0,,58.3%,8 / 16,* / 10,0 / *,63.9%,8 / 16,* / 10,0 / *,63.9%,8 / 16,* / 10,0 / *,1.1,1.1,1.4,1.0,1.4,1.0,0.9,1.0,6,0,14,*,* / 6,,5 / 14,0 / *,* / 6,,* / 14,0 / *,83,48,54,30,215,0.0%,3.6%,0.0%,* / 18,1.7%,6.0%,4.3%,1.9%,6.9%,4.7%,1.2%,8.3%,3.7%,0.0%,3.3%,1.7%,0.0%,6.1%,9.5%,3.5%,73.3%,63.3%,63.6%,52.4%,66.0%,95.0%,86.7%,97.0%,81.0%,91.7%,21.7%,23.3%,42.4%,23.8%,27.1%,32%,10%,19%,13%,10%,4%,2%,30%,28%,4%,7%,2%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
10,"ADVANCED FERTILITY CARE, PLLC",,SCOTTSDALE,ARIZONA,"Frederick W. Larsen, MD",90,43,54,18,60.0%,37.2%,22.2%,* / 18,56.7%,37.2%,22.2%,* / 18,83,35,48,15,65.1%,45.7%,25.0%,* / 15,61.4%,45.7%,25.0%,* / 15,98,30,22,*,55.1%,53.3%,54.5%,* / *,52.0%,53.3%,54.5%,* / *,1.7,2.7,4.5,18.0,63.4%,35.7%,31.0%,0 / 9,69.0%,39.3%,34.5%,0 / 9,69.0%,39.3%,34.5%,0 / 9,1.1,1.1,1.2,1.4,1.1,0.6,0.4,0.2,*,*,37,13,* / *,* / *,56.8%,5 / 13,* / *,* / *,54.1%,* / 13,233,166,106,84,589,2.8%,17.5%,13.0%,14.7%,10.5%,7.0%,9.9%,9.0%,17.7%,9.6%,3.0%,2.4%,0.9%,0.0%,2.0%,3.3%,10.6%,1.9%,6.3%,5.5%,96.7%,96.5%,100.0%,91.7%,96.4%,74.0%,75.3%,65.4%,45.8%,68.5%,78.0%,69.4%,80.8%,45.8%,71.1%,59%,9%,18%,12%,16%,76%,1%,45%,38%,3%,80%,10%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
